"","x"
"gene1683",3
"gene1684",3
"gene1685",3
"gene1686",3
"gene1687",3
"gene1688",3
"gene1689",3
"gene1690",3
"gene1691",3
"gene1692",3
"gene1693",3
"gene1694",3
"gene1695",3
"gene1696",3
"gene1697",3
"gene1698",3
"gene1699",3
"gene1700",3
"gene1701",3
"gene1702",3
"gene1703",3
"gene1704",3
"gene1705",3
"gene1706",3
"gene1707",3
"gene1708",3
"gene1709",3
"gene1710",3
"gene1711",3
"gene1712",3
"gene1713",3
"gene1714",3
"gene1715",3
"gene1716",3
"gene1717",3
"gene1718",3
"gene1719",3
"gene1720",3
"gene1721",3
"gene1722",3
"gene1723",3
"gene1724",3
"gene1725",3
"gene1726",3
"gene1727",3
"gene1728",3
"gene1729",3
"gene1730",3
"gene1731",3
"gene1732",3
"gene1733",3
"gene1734",3
"gene1735",3
"gene1736",3
"gene1737",3
"gene1738",3
"gene1739",3
"gene1740",3
"gene1741",3
"gene1742",3
"gene1743",3
"gene1744",3
"gene1745",3
"gene1746",3
"gene1747",3
"gene1748",3
"gene1749",3
"gene1750",3
"gene1751",3
"gene1752",3
"gene1753",3
"gene1754",3
"gene1755",3
"gene1756",3
"gene1757",3
"gene1758",3
"gene1759",3
"gene1760",3
"gene1761",3
"gene1762",3
"gene1763",3
"gene1764",3
"gene1765",3
"gene1766",3
"gene1767",3
"gene1768",3
"gene1769",3
"gene1770",3
"gene1771",3
"gene1772",3
"gene1773",3
"gene1774",3
"gene1775",3
"gene1776",3
"gene1777",3
"gene1778",3
"gene1779",3
"gene1780",3
"gene1781",3
"gene1782",3
"gene1783",3
"gene1784",3
"gene1785",3
"gene1786",3
"gene1787",3
"gene1788",3
"gene1789",3
"gene1790",3
"gene1791",3
"gene1792",3
"gene1793",3
"gene1794",3
"gene1795",3
"gene1796",3
"gene1797",3
"gene1798",3
"gene1799",3
"gene1800",3
"gene1801",3
"gene1802",3
"gene1803",3
"gene1804",3
"gene1805",3
"gene1806",3
"gene1807",3
"gene1808",3
"gene1809",3
"gene1810",3
